ticket_id,order_id,customer_id,ticket_date,issue_type,channel,ticket_status,resolution_time_hrs,agent_id,csat_score,is_repeat_complaint
TKT000055,,CUST01385,2023-02-13,Cancellation Request,Chat,Escalated,,AGT02,,True
TKT000056,,CUST01443,2023-12-08,Refund Not Received,Phone,Resolved,67.0,AGT05,5.0,False
TKT000057,ORD002494,CUST00593,2023-06-11,Refund Not Received,Chat,Resolved,22.0,AGT07,4.0,False
TKT000058,,CUST00815,2023-05-04,Delivery Delay,Chat,Closed,37.0,AGT02,1.0,False
TKT000059,ORD000805,CUST00326,2023-01-31,Cancellation Request,Email,Resolved,62.0,AGT11,3.0,False
TKT000060,ORD001979,CUST01923,2024-01-14,Payment Failed,Chat,Open,,AGT01,,False
TKT000061,ORD010714,CUST00957,2022-08-01,Payment Failed,Chat,Resolved,11.0,AGT11,2.0,True
TKT000062,,CUST01795,2022-09-07,Delivery Delay,Chat,Open,,AGT01,,False
TKT000063,ORD011825,CUST01158,2023-12-08,Login Issue,Chat,Resolved,68.0,AGT10,1.0,True
TKT000064,ORD013499,CUST01625,2022-09-16,Delivery Delay,Chat,Resolved,7.0,AGT11,1.0,False
TKT000065,ORD007070,CUST01719,2024-01-27,Payment Failed,Email,Closed,56.0,AGT20,2.0,False
TKT000066,ORD011227,CUST01970,2024-04-17,Delivery Delay,Chat,Resolved,60.0,AGT05,3.0,False
TKT000067,,CUST00657,2023-05-19,Wrong Item Received,Email,Resolved,4.0,AGT12,2.0,False
TKT000068,ORD014327,CUST00237,2023-04-21,Delivery Delay,Phone,Closed,39.0,AGT16,2.0,False
TKT000069,ORD005790,CUST00104,2022-04-25,Promo Code Not Working,Email,Resolved,27.0,AGT20,4.0,True
TKT000070,ORD006508,CUST00540,2023-09-02,Refund Not Received,Social Media,Closed,58.0,AGT18,3.0,False
TKT000071,ORD000780,CUST00261,2022-07-07,Refund Not Received,Email,Resolved,10.0,AGT16,3.0,True
TKT000072,ORD008093,CUST01455,2023-09-15,Other,Social Media,Resolved,43.0,AGT09,2.0,False
TKT000073,ORD002418,CUST00673,2023-09-01,Other,Email,Resolved,49.0,AGT19,1.0,False
TKT000074,ORD006511,CUST00547,2023-02-17,Promo Code Not Working,Chat,Resolved,17.0,AGT10,2.0,False
TKT000075,,CUST01368,2023-07-05,Damaged Product,Social Media,Resolved,51.0,AGT01,1.0,False
TKT000076,ORD005651,CUST00471,2023-11-01,Damaged Product,Phone,Escalated,,AGT01,,True
TKT000077,ORD003675,CUST00557,2022-10-04,Wrong Item Received,Email,Open,,AGT05,,True
TKT000078,,CUST00745,2022-11-05,,Phone,Resolved,63.0,AGT02,5.0,True
TKT000079,ORD008336,CUST01130,2024-01-10,Delivery Delay,Social Media,Resolved,16.0,AGT13,1.0,False
TKT000080,,CUST00532,2023-04-29,Login Issue,Email,Resolved,32.0,AGT02,5.0,False
TKT000081,ORD006931,CUST00429,2024-04-19,Promo Code Not Working,Chat,Resolved,60.0,AGT18,1.0,True
TKT000082,ORD013090,CUST00115,2024-03-27,Wrong Item Received,Chat,Resolved,18.0,AGT07,3.0,True
TKT000083,,CUST01207,2024-04-15,Refund Not Received,Phone,Open,,AGT12,,False
TKT000084,,CUST00016,2022-12-04,Promo Code Not Working,Chat,Open,,AGT08,,False
TKT000085,,CUST01000,2022-10-29,Cancellation Request,Phone,Escalated,,AGT16,,False
TKT000086,ORD014336,CUST00209,2023-08-26,Payment Failed,Email,Closed,2.0,AGT04,4.0,False
TKT000087,ORD007056,CUST00311,2024-02-08,Refund Not Received,Email,Resolved,59.0,AGT07,2.0,True
TKT000088,ORD001359,CUST00053,2022-02-15,Payment Failed,Email,Escalated,,AGT16,,True
TKT000089,ORD012386,CUST00144,2022-07-19,Promo Code Not Working,Email,Resolved,51.0,AGT15,4.0,False
TKT000090,ORD011902,CUST01780,2023-06-14,Refund Not Received,Email,Resolved,44.0,AGT14,5.0,False
TKT000091,ORD006150,CUST01089,2022-05-22,Refund Not Received,Chat,Escalated,,AGT09,,False
TKT000092,ORD014802,CUST01001,2022-04-03,Wrong Item Received,Chat,Closed,54.0,AGT17,4.0,False
TKT000093,ORD008918,CUST01723,2024-04-03,,Chat,Escalated,,AGT03,,False
TKT000094,ORD006166,CUST00125,2024-05-09,Wrong Item Received,Email,Resolved,66.0,AGT17,4.0,False
TKT000095,,CUST01343,2022-12-28,Login Issue,Email,Resolved,44.0,AGT16,2.0,False
TKT000096,ORD012813,CUST00292,2023-09-19,Payment Failed,Chat,Resolved,50.0,AGT01,3.0,True
TKT000097,ORD004276,CUST00911,2022-12-17,Damaged Product,Email,Resolved,52.0,AGT10,1.0,True
TKT000098,,CUST01359,2023-07-17,Delivery Delay,Email,Escalated,,AGT02,,False
TKT000099,ORD007075,CUST01368,2024-05-01,Refund Not Received,Chat,Escalated,,AGT14,,False
TKT000100,ORD005731,CUST00013,2022-10-02,Payment Failed,Chat,Resolved,42.0,AGT13,2.0,False
TKT000101,ORD010637,CUST01026,2022-01-05,Cancellation Request,Email,Resolved,56.0,AGT12,3.0,False
TKT000102,ORD014475,CUST00290,2023-09-22,Payment Failed,Chat,Resolved,42.0,AGT01,3.0,False
TKT000103,ORD009652,CUST00009,2023-06-11,Cancellation Request,Email,Resolved,22.0,AGT01,3.0,False
TKT000104,ORD003178,CUST00931,2022-07-10,Cancellation Request,Chat,Open,,AGT11,,False
TKT000105,ORD009227,CUST00482,2022-06-09,Damaged Product,Social Media,Closed,54.0,AGT12,2.0,False
TKT000106,,CUST01324,2023-07-27,Login Issue,Chat,Resolved,22.0,AGT13,5.0,False
TKT000107,ORD002185,CUST01658,2023-03-18,Refund Not Received,Chat,Resolved,5.0,AGT17,4.0,True
TKT000108,,CUST01119,2022-08-21,Refund Not Received,Phone,Escalated,,AGT20,,True
TKT000109,ORD012623,CUST01802,2023-03-11,Refund Not Received,Email,Resolved,60.0,AGT03,3.0,False
TKT000110,ORD004591,CUST00279,2022-07-19,Cancellation Request,Social Media,Escalated,,AGT02,,True
TKT000111,,CUST01451,2024-03-01,Delivery Delay,Phone,Escalated,,AGT15,,False
TKT000112,ORD001604,CUST01002,2023-12-08,,Chat,Escalated,,AGT17,,False
TKT000113,,CUST00021,2023-04-12,Delivery Delay,Chat,Open,,AGT09,,False
TKT000114,ORD001375,CUST00124,2022-10-10,,Phone,Resolved,24.0,AGT06,3.0,False
TKT000115,ORD010271,CUST01731,2023-01-24,Delivery Delay,Chat,Resolved,33.0,AGT09,3.0,True
TKT000116,,CUST01562,2022-02-12,Wrong Item Received,Chat,Escalated,,AGT03,,False
TKT000117,ORD003080,CUST01327,2023-08-27,Promo Code Not Working,Chat,Resolved,26.0,AGT10,2.0,False
TKT000118,ORD011118,CUST00844,2022-05-05,Delivery Delay,Email,Resolved,64.0,AGT14,4.0,False
TKT000119,,CUST01899,2023-09-03,,Chat,Resolved,32.0,AGT05,4.0,False
TKT000120,,CUST00064,2023-01-16,Login Issue,Chat,Closed,22.0,AGT15,1.0,True
TKT000121,ORD003694,CUST01288,2022-03-01,Damaged Product,Chat,Closed,44.0,AGT08,3.0,False
TKT000122,ORD003621,CUST00574,2022-11-18,Wrong Item Received,Email,Closed,53.0,AGT09,3.0,False
TKT000123,,CUST00208,2023-06-14,Delivery Delay,Social Media,Resolved,70.0,AGT13,3.0,False
TKT000124,ORD007783,CUST01339,2022-10-14,Login Issue,Phone,Resolved,28.0,AGT04,5.0,True
TKT000125,ORD002633,CUST00119,2022-03-30,Delivery Delay,Chat,Resolved,63.0,AGT05,2.0,False
TKT000126,,CUST00524,2023-10-07,Login Issue,Chat,Resolved,53.0,AGT02,3.0,False
TKT000127,ORD005930,CUST01299,2023-07-29,Payment Failed,Social Media,Resolved,72.0,AGT07,2.0,False
TKT000128,ORD010000,CUST00438,2024-06-17,Delivery Delay,Phone,Resolved,28.0,AGT02,1.0,False
TKT000129,ORD014249,CUST01771,2023-08-16,Other,Chat,Resolved,67.0,AGT18,5.0,True
TKT000130,ORD010153,CUST00875,2022-03-29,Payment Failed,Chat,Closed,18.0,AGT14,4.0,False
TKT000131,,CUST01741,2023-02-25,Damaged Product,Chat,Closed,8.0,AGT12,2.0,False
TKT000132,ORD009147,CUST01756,2022-06-09,Payment Failed,Chat,Resolved,49.0,AGT14,2.0,True
TKT000133,ORD012093,CUST00577,2023-08-19,Refund Not Received,Phone,Closed,53.0,AGT19,5.0,False
TKT000134,ORD007569,CUST01431,2022-01-25,Delivery Delay,Chat,Resolved,67.0,AGT05,2.0,False
TKT000135,ORD003878,CUST01190,2022-07-29,Cancellation Request,Email,Resolved,11.0,AGT02,5.0,True
TKT000136,ORD000356,CUST01897,2024-05-26,Payment Failed,Phone,Resolved,43.0,AGT16,4.0,True
TKT000137,ORD005865,CUST01009,2023-10-16,Promo Code Not Working,Chat,Resolved,68.0,AGT07,3.0,False
TKT000138,,CUST00157,2023-06-22,Damaged Product,Social Media,Open,,AGT08,,False
TKT000139,,CUST01448,2023-11-09,Refund Not Received,Chat,Resolved,29.0,AGT15,1.0,False
TKT000140,ORD005801,CUST01846,2022-10-24,Payment Failed,Email,Resolved,41.0,AGT10,4.0,False
TKT000141,ORD004824,CUST00944,2022-11-20,Other,Chat,Closed,7.0,AGT02,5.0,False
TKT000142,ORD012225,CUST01267,2022-12-16,Other,Chat,Resolved,18.0,AGT15,1.0,False
TKT000143,ORD002154,CUST00231,2022-02-28,Refund Not Received,Chat,Escalated,,AGT15,,False
TKT000144,,CUST01845,2023-09-13,Cancellation Request,Phone,Resolved,19.0,AGT18,5.0,True
TKT000145,,CUST01903,2023-12-06,Damaged Product,Chat,Closed,65.0,AGT04,5.0,False
TKT000146,,CUST00950,2024-05-12,Refund Not Received,Chat,Open,,AGT03,,False
TKT000147,ORD008820,CUST00763,2024-01-04,,Email,Resolved,19.0,AGT06,4.0,False
TKT000148,,CUST01004,2024-05-31,Payment Failed,Chat,Resolved,1.0,AGT03,5.0,True
TKT000149,ORD007073,CUST00652,2023-01-12,Login Issue,Email,Escalated,,AGT19,,False
TKT000150,ORD000685,CUST01689,2022-07-26,Other,Phone,Resolved,25.0,AGT16,5.0,True
TKT000151,ORD012007,CUST01091,2022-03-20,Cancellation Request,Email,Escalated,,AGT13,,False
TKT000152,ORD008882,CUST00633,2022-03-18,Wrong Item Received,Social Media,Escalated,,AGT18,,False
TKT000153,ORD003003,CUST00975,2023-07-06,Payment Failed,Phone,Resolved,4.0,AGT07,5.0,False
TKT000154,ORD011508,CUST00647,2022-06-20,Delivery Delay,Chat,Open,,AGT09,,False
TKT000155,ORD008682,CUST00366,2023-07-21,Delivery Delay,Social Media,Resolved,72.0,AGT01,1.0,False
TKT000156,ORD012620,CUST00738,2022-07-18,Other,Email,Resolved,68.0,AGT09,2.0,True
TKT000157,ORD012496,CUST00504,2023-12-16,Payment Failed,Social Media,Resolved,12.0,AGT06,3.0,False
TKT000158,,CUST01656,2024-06-28,Promo Code Not Working,Chat,Resolved,40.0,AGT17,4.0,False
TKT000159,,CUST01953,2024-05-17,Cancellation Request,Email,Closed,46.0,AGT03,5.0,False
TKT000160,ORD008291,CUST01917,2022-11-05,Refund Not Received,Email,Resolved,53.0,AGT14,3.0,False
TKT000161,,CUST01952,2022-11-07,Wrong Item Received,Phone,Resolved,62.0,AGT08,1.0,False
TKT000162,ORD005768,CUST00491,2024-02-02,Cancellation Request,Phone,Resolved,41.0,AGT20,4.0,False
TKT000163,ORD011554,CUST01831,2023-02-22,Cancellation Request,Phone,Resolved,5.0,AGT08,4.0,False
TKT000164,,CUST01428,2022-05-04,Delivery Delay,Phone,Escalated,,AGT19,,False
TKT000165,,CUST01839,2024-04-07,,Chat,Escalated,,AGT17,,False
TKT000166,ORD012265,CUST00374,2023-02-16,Other,Phone,Resolved,28.0,AGT18,5.0,False
TKT000167,ORD008443,CUST01921,2023-06-09,Cancellation Request,Chat,Resolved,63.0,AGT07,1.0,False
TKT000168,ORD010001,CUST01638,2024-01-02,Payment Failed,Chat,Resolved,63.0,AGT17,4.0,False
TKT000169,ORD000617,CUST01277,2022-03-29,Delivery Delay,Chat,Resolved,38.0,AGT20,5.0,False
TKT000170,,CUST00718,2022-11-05,Cancellation Request,Chat,Open,,AGT19,,False
TKT000171,ORD009703,CUST00156,2022-07-14,Cancellation Request,Chat,Resolved,24.0,AGT06,2.0,False
TKT000172,ORD005541,CUST00314,2023-08-11,Delivery Delay,Chat,Resolved,32.0,AGT17,2.0,False
TKT000173,ORD014837,CUST00825,2023-08-19,Delivery Delay,Phone,Closed,70.0,AGT13,4.0,True
TKT000174,ORD010825,CUST01953,2024-03-29,Delivery Delay,Chat,Closed,40.0,AGT16,3.0,False
TKT000175,ORD005670,CUST01830,2023-06-21,Delivery Delay,Phone,Escalated,,AGT12,,False
TKT000176,ORD014661,CUST01123,2022-03-25,Refund Not Received,Email,Open,,AGT17,,True
TKT000177,,CUST01049,2023-11-13,Delivery Delay,Chat,Escalated,,AGT17,,False
TKT000178,ORD013914,CUST01995,2022-05-15,Refund Not Received,Chat,Resolved,39.0,AGT16,3.0,False
TKT000179,ORD005808,CUST01700,2022-12-17,Payment Failed,Phone,Open,,AGT02,,False
TKT000180,,CUST01021,2024-04-04,Login Issue,Chat,Open,,AGT02,,False
TKT000181,ORD007810,CUST01735,2023-08-12,,Phone,Escalated,,AGT17,,False
TKT000182,,CUST01205,2023-09-05,Damaged Product,Email,Resolved,50.0,AGT15,1.0,False
TKT000183,ORD010448,CUST01614,2023-06-21,Other,Chat,Open,,AGT07,,False
TKT000184,ORD009138,CUST01253,2023-04-06,Cancellation Request,Chat,Open,,AGT13,,True
TKT000185,ORD009379,CUST01247,2022-05-30,Promo Code Not Working,Social Media,Resolved,43.0,AGT04,2.0,False
TKT000186,ORD002166,CUST01954,2024-04-27,Delivery Delay,Chat,Open,,AGT14,,False
TKT000187,ORD006931,CUST01765,2022-04-04,Other,Phone,Resolved,30.0,AGT03,4.0,False
TKT000188,ORD009728,CUST01019,2023-10-08,Login Issue,Email,Resolved,15.0,AGT10,4.0,False
TKT000189,,CUST00891,2022-10-03,Damaged Product,Email,Resolved,31.0,AGT20,4.0,False
TKT000190,,CUST01039,2023-02-23,,Phone,Resolved,30.0,AGT05,1.0,True
TKT000191,ORD004095,CUST01113,2022-11-09,Promo Code Not Working,Chat,Closed,40.0,AGT18,3.0,False
TKT000192,,CUST01334,2022-01-01,Cancellation Request,Phone,Closed,6.0,AGT17,3.0,False
TKT000193,,CUST01836,2022-09-28,Delivery Delay,Email,Resolved,49.0,AGT08,1.0,True
TKT000194,ORD013735,CUST00120,2024-01-30,Refund Not Received,Email,Escalated,,AGT14,,False
TKT000195,,CUST01140,2022-06-10,Wrong Item Received,Chat,Resolved,26.0,AGT06,1.0,False
TKT000196,ORD010578,CUST01240,2024-02-05,Promo Code Not Working,Email,Resolved,35.0,AGT02,5.0,False
TKT000197,ORD009006,CUST01272,2022-09-08,Damaged Product,Social Media,Open,,AGT14,,False
TKT000198,ORD013699,CUST01266,2023-06-06,Delivery Delay,Chat,Closed,66.0,AGT19,4.0,True
TKT000199,ORD000162,CUST01077,2022-07-16,Payment Failed,Email,Open,,AGT02,,False
TKT000200,ORD000017,CUST00918,2023-04-20,Payment Failed,Email,Closed,33.0,AGT18,5.0,False
TKT000201,,CUST01812,2022-12-20,Cancellation Request,Email,Escalated,,AGT12,,False
TKT000202,,CUST01331,2023-07-09,Wrong Item Received,Chat,Resolved,44.0,AGT19,3.0,False
TKT000203,ORD002221,CUST01521,2022-09-27,Delivery Delay,Social Media,Resolved,70.0,AGT18,1.0,True
TKT000204,ORD004763,CUST01744,2022-11-03,Cancellation Request,Email,Closed,8.0,AGT16,3.0,False
TKT000205,ORD003988,CUST01832,2023-02-12,Login Issue,Email,Resolved,39.0,AGT16,5.0,False
TKT000206,ORD012305,CUST00404,2022-03-08,Refund Not Received,Email,Resolved,26.0,AGT12,1.0,False
TKT000207,ORD014939,CUST00414,2024-04-16,Damaged Product,Email,Resolved,72.0,AGT14,2.0,True
TKT000208,ORD007282,CUST00334,2023-05-29,Delivery Delay,Phone,Resolved,53.0,AGT20,2.0,False
TKT000209,ORD004243,CUST00043,2022-06-14,Delivery Delay,Chat,Closed,22.0,AGT03,2.0,False
TKT000210,ORD004203,CUST00341,2023-02-02,Delivery Delay,Chat,Escalated,,AGT06,,False
TKT000211,,CUST00653,2024-03-22,Promo Code Not Working,Chat,Escalated,,AGT09,,False
TKT000212,,CUST01715,2022-03-09,Cancellation Request,Social Media,Resolved,72.0,AGT14,4.0,False
TKT000213,ORD008735,CUST01996,2023-07-11,Payment Failed,Phone,Escalated,,AGT20,,True
TKT000214,ORD013774,CUST01460,2023-04-27,Cancellation Request,Chat,Closed,36.0,AGT10,3.0,False
TKT000215,ORD006001,CUST01450,2023-09-01,,Phone,Escalated,,AGT20,,False
TKT000216,ORD006315,CUST00024,2024-02-01,Wrong Item Received,Social Media,Resolved,37.0,AGT19,3.0,True
TKT000217,ORD000658,CUST01109,2022-01-21,Login Issue,Email,Resolved,35.0,AGT17,3.0,False
TKT000218,ORD010627,CUST01558,2022-07-01,Refund Not Received,Chat,Escalated,,AGT12,,False
TKT000219,ORD006266,CUST00749,2024-05-17,Wrong Item Received,Phone,Closed,42.0,AGT09,2.0,True
TKT000220,ORD011880,CUST00380,2023-09-13,Cancellation Request,Chat,Closed,34.0,AGT20,4.0,True
TKT000221,ORD000375,CUST01569,2024-06-22,,Phone,Resolved,33.0,AGT01,2.0,False
TKT000222,ORD000031,CUST01438,2024-05-10,Promo Code Not Working,Email,Open,,AGT16,,False
TKT000223,,CUST01182,2023-09-30,Delivery Delay,Chat,Resolved,51.0,AGT05,5.0,False
TKT000224,ORD008517,CUST01973,2022-04-13,Wrong Item Received,Email,Resolved,27.0,AGT01,1.0,False
TKT000225,,CUST01613,2023-07-04,Login Issue,Phone,Escalated,,AGT08,,False
TKT000226,ORD001315,CUST00399,2022-01-11,Damaged Product,Chat,Escalated,,AGT20,,True
TKT000227,ORD000712,CUST00976,2022-08-26,Delivery Delay,Email,Resolved,50.0,AGT06,5.0,True
TKT000228,ORD001845,CUST00599,2022-02-04,Refund Not Received,Social Media,Closed,68.0,AGT06,2.0,True
TKT000229,,CUST00942,2022-08-19,Cancellation Request,Email,Open,,AGT20,,True
TKT000230,ORD005673,CUST01044,2024-03-07,Payment Failed,Chat,Closed,8.0,AGT06,2.0,False
TKT000231,ORD011314,CUST01383,2023-10-15,Wrong Item Received,Email,Open,,AGT04,,False
TKT000232,,CUST00262,2024-01-12,Refund Not Received,Email,Resolved,72.0,AGT07,3.0,False
TKT000233,,CUST01512,2022-09-04,Other,Social Media,Resolved,56.0,AGT06,1.0,False
TKT000234,ORD009660,CUST00981,2022-01-12,Payment Failed,Chat,Closed,53.0,AGT20,2.0,False
TKT000235,,CUST00630,2024-06-25,Cancellation Request,Chat,Closed,55.0,AGT14,5.0,True
TKT000236,,CUST00821,2023-04-02,Payment Failed,Chat,Open,,AGT14,,False
TKT000237,ORD004544,CUST01732,2022-12-28,Refund Not Received,Chat,Resolved,4.0,AGT19,3.0,False
TKT000238,,CUST01300,2023-01-02,Payment Failed,Chat,Open,,AGT12,,False
TKT000239,ORD003038,CUST01992,2024-03-05,Payment Failed,Chat,Resolved,44.0,AGT07,3.0,False
TKT000240,ORD008611,CUST00963,2022-03-28,Delivery Delay,Email,Closed,6.0,AGT18,5.0,True
TKT000241,ORD005980,CUST00264,2023-09-16,Other,Chat,Open,,AGT03,,False
TKT000242,ORD005722,CUST00725,2022-10-13,Payment Failed,Chat,Resolved,32.0,AGT01,1.0,False
TKT000243,ORD004490,CUST01522,2023-06-30,Delivery Delay,Phone,Resolved,27.0,AGT15,3.0,False
TKT000244,,CUST01827,2023-12-19,,Email,Open,,AGT20,,False
TKT000245,ORD007141,CUST00183,2022-09-27,Delivery Delay,Chat,Closed,39.0,AGT09,3.0,False
TKT000246,ORD012748,CUST00405,2023-06-28,Payment Failed,Email,Resolved,34.0,AGT15,3.0,True
TKT000247,ORD002649,CUST01174,2023-03-04,Delivery Delay,Phone,Resolved,61.0,AGT13,3.0,False
TKT000248,ORD002438,CUST01354,2023-01-27,Promo Code Not Working,Chat,Closed,3.0,AGT05,4.0,False
TKT000249,ORD014935,CUST00681,2022-01-24,Promo Code Not Working,Email,Resolved,52.0,AGT11,4.0,False
TKT000250,,CUST01377,2023-02-06,Wrong Item Received,Social Media,Resolved,4.0,AGT10,2.0,False
TKT000251,,CUST01759,2024-03-28,Delivery Delay,Social Media,Closed,64.0,AGT05,4.0,False
TKT000252,ORD005076,CUST01732,2023-01-02,Promo Code Not Working,Phone,Open,,AGT13,,False
TKT000253,ORD009934,CUST01204,2024-03-11,Damaged Product,Chat,Closed,15.0,AGT03,3.0,False
TKT000254,ORD005053,CUST00376,2023-04-16,Other,Chat,Closed,50.0,AGT11,2.0,True
TKT000255,,CUST01130,2024-06-20,Payment Failed,Phone,Resolved,64.0,AGT16,2.0,False
TKT000256,ORD003554,CUST01312,2023-10-13,Cancellation Request,Chat,Resolved,20.0,AGT19,4.0,False
TKT000257,,CUST01548,2022-01-19,Delivery Delay,Email,Resolved,4.0,AGT12,4.0,False
TKT000258,,CUST00048,2022-04-20,Refund Not Received,Chat,Escalated,,AGT08,,False
TKT000259,,CUST00213,2024-05-29,Refund Not Received,Email,Closed,62.0,AGT01,5.0,True
TKT000260,ORD012626,CUST01102,2022-06-22,Payment Failed,Chat,Resolved,70.0,AGT02,2.0,False
TKT000261,ORD013029,CUST00298,2024-01-18,Damaged Product,Phone,Closed,14.0,AGT17,2.0,False
TKT000262,ORD000055,CUST00064,2024-03-14,Refund Not Received,Email,Closed,30.0,AGT07,4.0,False
TKT000263,,CUST00389,2023-05-30,Other,Email,Resolved,10.0,AGT14,5.0,False
TKT000264,ORD005994,CUST01577,2023-07-22,Promo Code Not Working,Email,Resolved,8.0,AGT19,5.0,False
